osm_id,amenity_type,name,latitude,longitude
2166417287,cafe,The Bakery Cafe,27.7012362,85.3110726
2166417292,restaurant,राइस एण्ड बाउल रेस्टुरेन्ट,27.6940995,85.3125904
2166417313,bank,नेपाल बैंक लिमिटेड,27.7010967,85.3122447
2166417318,bank,Agricultural Developmen Bank,27.6936162,85.3137455
2166417323,restaurant,बैथक कार्यक्रम स्थल,27.6954768,85.3103347
2166417329,restaurant,पानस रेस्टुरेन्ट,27.701203,85.3113193
2166417335,fuel,मायाराम भोलाराम पेट्रोल पम्प,27.69381,85.3144951
2166426553,restaurant,Viva Banquet,27.6980112,85.3037582
2166426557,bank,Everest Bank Limited,27.6956266,85.3081862
2166426559,restaurant,Friends Party Centre,27.6979227,85.2984376
2166427222,fuel,Petrol Pump,27.6972204,85.2957035
2166592516,cafe,The Coffee Shop,27.7113258,85.3173738
2166593032,restaurant,विन्टेज,27.7096867,85.316745
2166593033,restaurant,Red Carpet,27.710604,85.3180015
2166593496,cafe,Magic Beans,27.7105055,85.3177578
2166597514,cafe,Himalayan Java,27.703746,85.3076481
2166600599,restaurant,Bhatti newari cuisine,27.7034539,85.3076669
2166600602,restaurant,Unnamed,27.7034657,85.3073182
2166602188,restaurant,VIshram,27.7034657,85.3072565
2166606916,pub,Rooftop restaurant,27.7035139,85.307054
2166606917,cafe,Snowman,27.702504,85.3079539
2166613272,restaurant,Tik i Jhyaa,27.7030335,85.3076911
2166614273,restaurant,Firefly,27.7030906,85.307516
2166616740,fast_food,Unnamed,27.703613,85.3080049
2166624136,fountain,Unnamed,27.7039644,85.3094077
2168641793,restaurant,Unnamed,27.6738175,85.3338598
2168810010,bank,Siddhartha Bank,27.7225757,85.3493882
2168810017,bank,Laxmi Sunrise Bank,27.7221795,85.3468287
2168810021,bank,Jyot Bikashi Bank,27.7224773,85.3489335
2174521360,kindergarten,Kids Wonderland,27.6945435,85.3376976
2174521364,clinic,National Institute of Psychology,27.694514,85.3377708
2174589201,bank,Chemiki microfinance development bank,27.6957203,85.3380707
2174589203,parking,KFA Parking,27.6957864,85.3378537
2174589424,cafe,Lumbini Cafe,27.6948877,85.3405908
2174589425,drinking_water,dhungedhara,27.6956713,85.3378649
2176723030,police,प्रहरी बुथ,27.6924233,85.2978771
2176739902,pharmacy,PS Medical,27.6962726,85.3374975
2176739925,pharmacy,Unnamed,27.6975856,85.3380033
2176750955,bank,Nabil Bank,27.6913755,85.2987395
2176750958,bench,Unnamed,27.6920951,85.2969371
2176750961,hospital,Unnamed,27.6913755,85.2985867
2176765801,college,काठमाडौं एकेडेमी अफ टुरिजम एण्ड हस्पिटालिटी म्यानेजमेन्ट,27.6934156,85.2924954
2176769048,bench,Unnamed,27.6919347,85.2943016
2176769051,bench,Unnamed,27.6919917,85.2937678
2176769053,bench,Unnamed,27.6920464,85.2932367
2179613912,bank,Kist Bank,27.7291731,85.3463329
2179735789,bank,Subal Saving and Credit Cooperatives,27.7292582,85.3463488
2184993849,kindergarten,Best Montessori E. School,27.7226662,85.3440975
2184993862,college,U2 International College,27.7223934,85.344431
2185607000,college,CITE,27.6843781,85.3456109
2185607008,school,किड्स गार्डन मन्टेश्वरी स्कूल,27.6819924,85.3481103
2185607011,school,नवज्योति विद्यालय एंड कलेज,27.6823907,85.3482925
2185607015,police,नेपाल प्रहरी,27.678822,85.3488276
2185607019,police,Rastriya Suchana Aayog,27.681951,85.3475686
