osm_id,highway_type,name,nodes
27705654,secondary,Unnamed,"[1498888720, 11880664852, 1778705435, 1778705433, 1778705429, 1778705428, 3868621219, 3868621218, 1832395936, 3868621216, 5050470994, 10901071932, 1778705445, 1832395985, 5094263733, 1778705449, 1960744385, 2912320323, 1778705443, 1778705452, 6092333060, 5094263737, 1778705441, 1960744441, 10945919967, 1778705454, 6091948857, 3493550704, 1960746164, 10923446138, 1778705439, 1778705427, 1832396324, 2516861499, 2516860414, 3487953375, 1832396475, 10923393756, 11990363888, 1778705426, 2753543779, 6089620487, 1832396636, 1778705424, 3488906268, 3488906270, 3488906272, 304250651, 304250922, 3489006082, 304250923, 304250924, 6089433281, 3489006084, 304250925, 11990363891, 11990363890, 304250926, 11990363892, 304250928, 6089504612, 304250929, 3489006085, 304250931, 304250932, 304250933, 3489006086, 3489006091, 304250934, 304250935, 3489006095, 6665894848, 304250936, 304250937, 4339198723, 3488783363, 3489006094, 6665894852, 3489006088, 3488783359, 6665894849, 304251121, 304251120, 304251119, 304251118, 2516815219, 10923353142, 2516891177, 10923353143, 304251117, 304251116, 304251115, 304251114, 6665894845, 304251112, 6665894846, 304251110, 2516844422, 304251108, 2516843640, 304251106, 6665894844, 6665894843, 304251104, 2516844605, 304251102, 304251099, 6665894842, 304251098, 304251096, 304251095, 2516878902, 304251093, 304251091, 304251090, 304251088, 304251087, 13084048537, 304251085, 304251084, 6665894841, 3488784289, 304251082, 3484635969, 304251081, 3488784015, 304251079, 6677079932, 3488784011, 6665894840, 304251845, 6665894839, 6665894838, 10923342380, 2188712521, 6665894835, 6665894834, 2188712510, 3479566972, 2188712506, 2188712505, 2188712502, 7514657426, 7514657425, 3479566616, 304251847, 7514078430, 7514078429, 6665894833, 4525703480, 7514657339, 2188712493, 2188712495, 6665894832, 7514078496, 2189326799, 3488784281, 2189326792, 2189326788, 2189326798, 6665894831, 7514078495, 7514072226, 7514072227, 6665894830, 7514072228, 304251764, 7517563686, 7517563687, 2189326837, 7517563688, 304251763, 6665894828, 6665894829, 2189326923, 7522717420, 2189326933, 6665894827, 7522717421, 3499283691, 6665894826, 6665894825, 6665894824, 6665894823, 6665894822, 304251761, 6665894821, 10923356557, 304251760, 3480554094, 3480554099, 304251759]"
27705681,unclassified,Unnamed,"[3487133568, 10921135427, 1659430939, 10921150106, 1659430979, 10921150139, 1659431022, 1659431061, 5649225540, 1659431076, 1659431077, 10921150141, 10921150140, 1659431105, 1659431130, 1659431126, 1659431101, 1659431089, 1659431097, 5649225539, 1659431074, 1659431045, 1659431002, 1659430981, 5649225538, 10901224897, 5649225537, 1659430921, 1659430908, 1659430872, 1659430854, 5649225536, 5649225535, 1659430821, 1659430806, 5776729036, 1659430749, 1659430717, 1659430711, 1659430673, 10958917661, 1659430670, 1659430653, 1659430654, 5649225534, 1659430645, 10901133523, 1659430616, 1659430559, 10901109363, 1659430535, 1659430525, 10958917660, 1659430490, 1659430477, 1659430459, 10901109364, 1659430432, 1659430430, 1659430385, 10958917659, 1659430374, 3489460015, 10921308945, 5649225532, 1659430232, 10921308946, 1659430187, 304251299, 304251308, 304251311, 6281656932, 304251313, 11250449073, 11250449075, 11251074000, 6281656933, 304251318, 304251320, 304251322, 304251324, 304251328, 304251332, 3503344233, 12556160979, 304251335, 1659430128, 1659430144, 12556160978, 12556160977, 1659430147, 12556160976, 12556160975, 3500052505, 5602803728, 1659430176]"
27705770,unclassified,Unnamed,"[304251787, 3481511130, 3029569990, 5649225525, 6436648974, 3029569988, 6436648973, 304251788, 5776729027, 3488895241, 3488895242, 6436648975, 6436648976, 3488895234, 304251789, 3029569967, 3488764619, 6436645801, 6436645800, 304251790, 6436645803, 6436645802, 6436645804, 3029569963, 6436645805, 3029569962, 304251791]"
27705771,unclassified,Unnamed,"[304251761, 3495289973, 3029569960, 3029569961, 3499976980, 304251793, 3029569964, 3029569965, 10923353773, 7522717449, 304251794, 10923353774, 3029569975, 3029569981, 10923353766, 5776729024, 3029569993, 304251787]"
27705776,unclassified,Unnamed,"[304251787, 304251799, 3029569996, 304251800, 304251801, 1659430270, 1659430302, 3501696738, 3488895309, 1659430290, 5776729031, 1659430309, 10921335944, 1659430397, 1659430457, 10945809585, 10901170083, 1659430483]"
27705783,unclassified,Unnamed,"[304251791, 3029569959, 3501743516, 3488765001, 3501743515, 304251814, 3479566625, 3479566621, 3488784012, 304251079]"
27705791,secondary,Unnamed,"[304251759, 2189327162, 2189327175, 2189327180, 2189327181, 3480554130, 3480554128, 304251850, 3480554082, 3480554114, 3480554121, 3480554124, 2189327150, 3480554125, 3480554123, 2189327145, 2189327146, 2189327160, 3480554132, 304251851]"
27705796,unclassified,Unnamed,"[304251760, 3480498458, 3480498457, 2189327037, 304251857]"
27705797,unclassified,Unnamed,"[304251857, 3480498449, 2189327016, 7517568222, 3480498441, 7517568221, 7517568220, 3476873666, 7517568219, 7517568218, 3489030026, 7517568217, 2189326812, 3479566964, 304251859, 7517563780, 7517563781, 7516933812, 2189326676, 7516933813, 7516933814, 3497820988, 3489030020, 304251860, 7516933816, 2516916796, 2516916798, 2516913805]"
27705799,tertiary,Unnamed,"[304251857, 3480498451, 3480554011, 12599133656, 10923356513, 10923356514, 3480498447, 2189326981, 5651179738, 12599133655, 3480498439, 2189326870, 12599133654, 5651179739, 3480498432, 10945882799, 304251874, 10923356556, 12599133653, 2189326845, 3480498429, 10945882798, 3480498428, 10945882795, 10945882796, 10945882797, 2189326777, 10923356555, 10945877784, 3480498418, 2189326787, 2189326770, 10889339090, 2189326785, 12599133652, 12599133651, 2189326784, 12599133650, 10898947682, 2189326760, 2189326743, 12599133649, 3480498412, 12599133648, 3480498407, 10898947686, 3480498402, 10889339091, 3480498395, 3480498384, 10889340068, 3480498378, 3480498376, 3479685234, 10889339078, 2365628460, 3480498372, 5651179741, 3480498367, 2365628458, 10888929656, 3480505815, 10888929657, 10888929658, 2365628456, 10888929659, 3480505816, 10888929660, 3480505818, 5651179736, 10956826692, 3480505783, 3480505781, 3480505782, 3480505784, 10925593539, 2365628392, 3480505791, 2365628408]"
27705801,unclassified,Unnamed,"[304251851, 2189327155, 3480554113, 2189327120, 3480554087, 3480554095, 3480554085, 304251884, 3479685744, 3479660548]"
27705807,secondary,Unnamed,"[304251851, 3480554136, 304251903, 2189327217, 3480554140, 2189327215, 3480554141, 2189327214, 3480554137, 3487178630, 3480554135, 304251904, 3480554138, 3480554139, 3480554143, 2189327221, 10923356603, 2189327227, 3480554148, 3480554161, 2189327252, 2189327266, 2189327274, 3480554189, 3480554296, 3480554300, 3480554309, 304251905, 3504825440, 3490558269, 3029569989, 3029569995, 304251906]"
28543722,primary,कान्ति पथ,"[313131693, 1906492115, 1806066068]"
28559206,tertiary,टंका प्रसाद घुमती सडक,"[1805074862, 13144360523, 6522174582, 3722266466, 6522220687, 1350381968, 6522192633, 1805074839, 313735969, 6537401083, 4911945546, 1805074836, 668708710, 6097279944, 1805074828, 6537401084, 1273357507, 1805074820, 668708812, 6097287333, 2338508487, 313735972, 4912512336]"
28559428,primary,कान्ति पथ,"[31152551, 6540538696]"
28579038,secondary,नाग पोखरी सडक,"[268307716, 314187885, 6089563837, 313914545, 4888990008, 6089622342, 1490246644, 2004031738, 1957158942, 1957158936, 3188112319, 296319801]"
28579337,primary,दरबार मार्ग,"[1897352459, 7506781314, 2052532182, 849950824, 7506767881, 1897352456, 1965697252, 5316976754, 5316976755]"
28579443,primary,दरबार मार्ग,"[31149337, 3506383814, 31149202]"
28598514,residential,Unnamed,"[314185220, 4867603137, 3188112305, 1776967007, 1776967008, 4867603138, 6089572289, 314185221, 1279198247, 6089665900, 1279198105, 6089665899, 6089665901, 1957158919]"
28598634,primary,Unnamed,"[31151322, 296319803, 1279198139, 4888983117, 296319802, 296319801]"
28598638,residential,Unnamed,"[2004031749, 2004031750, 2004031751, 314187883, 6089701369, 1490246523, 314187884, 2469736431, 8418298910, 2469736434, 2469736436, 1490246650, 2528926929, 2528926930, 6089564873, 314187885]"
28598645,primary,टंगाल मार्ग,"[296319786, 3328301777, 3377594153, 9514971823, 268307761]"
28598668,secondary,थिरबम सदक ३,"[31148719, 2110521035, 2110521041, 1393448811]"
28617790,residential,Red Cross Road,"[2214586164, 10015395905, 5284784630, 1954398318, 3499749496, 6102708645, 1832324452, 314531003, 6525455420, 4020776794, 6525455414, 1832337265, 2512630768, 3702648672, 1832324636, 1832324665, 728152921, 10722626872, 728152922, 728152923]"
28653580,tertiary,टङ्क प्रसाद घुमती सडक,"[4912512337, 4912512343, 4912512349, 4912512335, 4912512339, 4912512348, 4912512355, 4912512340, 314911422, 1830679636]"
28659234,residential,Unnamed,"[314962694, 1052006780, 4965393874, 1052006737, 1052006824, 1052006788, 314962713]"
28659235,residential,Unnamed,"[314962713, 3728964856, 12063265975, 669655768, 314962717]"
28659577,residential,Unnamed,"[314962702, 2308181792, 314967067]"
30474887,secondary,Unnamed,"[253302531, 336240757, 336240758, 336240759, 1918442394, 336240761, 336240762, 336240763, 10242482159, 10242482160, 336240765]"
30475471,secondary,दक्षिणकाली रोड,"[336247151, 10242510292, 3060526070, 10242510293, 3060526051, 336247164, 3060526066, 336247165, 3060526065, 336247166, 336247167, 3060526038, 336247168, 3060526067, 336247169, 336247170, 336247171, 336247172, 3060524132, 3060526068, 336247173, 336247174, 3060526033, 336247175, 3060526034, 3060526035, 336247177, 336247178, 336247179, 336247180, 2516964005, 3060526037, 2524924808, 3060526039, 336247181, 3060526042, 336247182, 336247183, 9706548117, 336247184, 336247185, 2516955388, 336247186, 3060526063, 336247187, 3060526041, 336247188, 336247189, 3060526043, 1124409735, 336247192, 10258579170, 3289633861, 336247193, 336247194, 336247195, 336247196, 10258579163, 1124353343, 11751952539, 11751952541, 2524927191, 11751952553, 11751952552, 11751952546, 336247201, 336247202, 336247203, 336247204, 3060526045, 336247205, 3060526046, 336247206, 3060526047, 336247207, 336247208, 3060526048, 336247209, 336247211, 2524927221, 336247212, 336247213, 5104953638, 5104940708, 5104953645, 5104953646, 5104953655, 336247214, 336247215, 336247217, 3060526050, 336247218, 336247219, 3493327343, 336247220, 3060526052, 3060526054, 3060526062, 336247221, 336247223]"
32132831,secondary,सरस्वती नगर मार्ग,"[360702836, 8475083918, 2066261528, 11860168343, 2066261545, 1791503296]"
32911668,steps,Unnamed,"[560496832, 12625301895, 370647037, 2297964862, 560496811, 9513693038, 2297964858, 2297964859, 2297964861, 2297964863, 560496823]"
34122578,residential,Unnamed,"[391200215, 391200216, 6094530030, 391200218, 1895430095, 391200222, 9864962365, 9864962366, 9864962367, 317532109]"
34122579,residential,Unnamed,"[391200222, 669253612, 1480919434, 1273357626, 669253613, 669253614, 1832593972, 391200249, 669253610, 2521363748, 2520628047, 669273227]"
34122609,residential,Unnamed,"[391201043, 7171197556, 2521363759, 4931894180, 391201051]"
34122640,primary_link,Unnamed,"[317532043, 1810054581, 6684876429, 2044375436, 6684876431]"
35425185,service,Unnamed,"[1274038117, 4918263116, 11038663412, 4918263035, 1832459959, 3496423550, 5365484213, 1832459955, 668708749]"
36485774,residential,Jal Binayak Marg,"[425256487, 425256488, 2195431380, 3111513218, 2195431378, 425256489, 1052006846, 1052006759, 1052006841, 1052006746, 1052006814, 1052006862, 1052006771, 1052006833, 10015346021, 1880051623]"
36490680,residential,Unnamed,"[1278980875, 2195461918, 1753692769, 13383484803, 13383505850, 425256488]"
36490681,residential,Unnamed,"[425227568, 1924835574, 425256551]"
36492183,residential,Sako Marga,"[425227540, 5050433394, 425268148, 3643246296, 3643246297, 425268149]"
37323097,tertiary,Unnamed,"[434978482, 434978480, 1480909333, 317532033, 1880066230]"
37707650,footway,Unnamed,"[442150829, 2592436700, 3484762189, 2592436698, 442150830]"
37707651,footway,Unnamed,"[370647036, 442150832]"
38605610,unclassified,Unnamed,"[457280587, 457280588, 457280589, 457280590, 457280591, 457280592, 457280593, 457280594, 457280595, 457280596, 3481898019, 457280597, 9726062288, 457280598, 457280599, 457280600, 9726039354, 457280601, 9726062281, 457280602, 457280603, 11056212283, 11846359544, 457280604, 9726039353, 9726062282, 457280605, 9726039352, 457280606, 457280607, 457280608, 457280609, 457280610, 457280611]"
38605614,unclassified,Charghare road,"[4529384147, 457280618, 1818586435, 457280619, 457280620, 1906621198, 457280621, 457280622, 2052414209, 457280623, 10255329801, 457280624, 3487170346, 457280625, 3503338314, 457280626, 457280627, 457280628, 2039710696, 3643966089, 457280630, 457280631, 457280632, 457280633, 457280634, 9763282073, 457280635, 457280636, 457280637, 457280638, 457280639, 457280640, 457280641, 457280642, 9702104955, 457280643, 457280644, 457280645, 9763873123, 457280646, 457280647, 457280648, 7720715857, 457280649, 10013369959, 457280650, 457280651, 3494807163, 457280653, 457280654, 1907902329, 457280655]"
38605618,residential,Unnamed,"[457280671, 9765991986, 457280672, 457280673, 11751888119, 457280674, 457280675, 2524921356, 457280676, 3509629661, 457280677, 457280678, 9572572887, 457280679, 3259577287, 457280680, 457280681, 457280682, 457280683, 457280684, 457280685, 457280686, 457280687, 457280688, 457280689, 457280690, 457280691, 457280692, 457280693, 457280694, 457280695, 457280696, 3265388161, 457280697, 457280698, 457280699, 2169357327, 457280700, 457280701, 9763786407, 457280702, 457280703, 457280704, 457280705, 457280706, 457280707, 457280708, 457280709, 457280710, 457280711, 457280712, 9679210077, 2169357328, 457280713, 2101055308, 457280714, 457280715, 457280716, 457280717, 457280718, 457280719, 2169357296, 457280720, 457280721, 457280722, 457280723, 457280724, 457280725, 457280726, 457280727, 457280728, 457280729, 457280730, 457280731, 457280732, 457280733, 457280734, 457280735, 3463210347, 457280737, 457280738, 3492696460, 3492696459, 457280739, 457280740, 3492632592, 457280741, 457280742, 457280743, 457280744, 457280745, 9706526697, 3259586698, 457280746, 2071067861, 2039710712, 3497351243, 3497351242, 457280747, 457280748, 457280749, 10026652244, 457280750, 457280751, 3503338329, 457280752, 4529384148, 457280753, 4529384147, 1819871908, 457280755, 457280756, 3060473539, 1895867759, 3491501057, 457280758]"
39984917,residential,Unnamed,"[480425069, 6080082134, 480425070]"
