place_id,name,lat,lng,type,rating,review_count,price_level,is_operational,source,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,suitability
osm_4052345826,Coffee Time,27.7073887,85.3274038,cafe,,,,True,openstreetmap,22.0,2.0,0.0,352.36,10.0,346.66,18.0,1.0,124.53,5.0,284.95,3.0,317.09,89.13,2.63,10.0,10.0,High
osm_5171143921,Palpasa Coffee,27.7119914,85.3096679,cafe,,,,True,openstreetmap,94.0,19.0,0.0,295.02,3.0,386.42,31.0,5.0,53.23,2.0,21.19,1.0,430.26,95.49,0.59,10.0,10.0,High
osm_3307465007,Chat Pate Pasal,27.676753,85.2787785,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_2079502752,Green Belt Momo centre,27.7423306,85.3332257,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_7281739804,रोम क्याफे,27.6779786,85.3469937,cafe,,,,True,openstreetmap,14.0,5.0,0.0,272.78,28.0,227.24,19.0,5.0,96.13,2.0,36.21,4.0,162.09,76.39,4.76,10.0,9.41,High
osm_4716645091,Unknown Cafe,27.749123,85.2953315,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_3626551798,Coffee Shop,27.7219218,85.3624147,cafe,,,,True,openstreetmap,39.0,22.0,0.0,219.57,6.0,371.93,9.0,0.0,241.95,4.0,163.39,2.0,252.53,56.02,1.71,6.4,10.0,High
osm_4264065757,Belle Ville,27.7223639,85.3312054,cafe,,,,True,openstreetmap,16.0,5.0,0.0,272.58,10.0,256.09,13.0,3.0,40.11,2.0,40.86,2.0,199.86,53.48,4.39,8.8,10.0,High
osm_2858843075,S Cafe and Coffee Shop,27.6866445,85.3094098,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_3155930667,Pappu Paratha Pasal,27.692768,85.2787744,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_4989351032,Unknown Cafe,27.6800302,85.386043,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_8187610031,उग्रचण्डी क्याफे,27.6717146,85.3509083,cafe,,,,True,openstreetmap,9.0,2.0,0.0,312.08,11.0,435.18,10.0,4.0,52.71,3.0,217.21,4.0,415.71,59.84,1.19,8.9,6.23,High
osm_5367652206,Amigo cafe,27.6886613,85.3353971,cafe,,,,True,openstreetmap,20.0,6.0,0.0,273.21,42.0,216.65,17.0,5.0,135.76,6.0,124.07,3.0,65.04,92.95,5.73,10.0,10.0,High
osm_1937673105,ItalCaffe,27.669854,85.3163179,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_4543411390,नेपको क्याफे र रेस्टुरेन्ट,27.712994,85.2898134,cafe,,,,True,openstreetmap,6.0,4.0,0.0,202.16,15.0,371.96,9.0,3.0,136.67,2.0,227.85,1.0,6.99,39.47,2.85,9.8,4.32,High
osm_4873219223,चाकु बाकु क्याफे,27.6898499,85.3353921,cafe,,,,True,openstreetmap,18.0,8.0,0.0,250.56,47.0,258.56,19.0,1.0,70.97,7.0,170.77,3.0,37.02,104.41,5.57,10.0,10.0,High
osm_1937710492,A Cafe and Lounge,27.6750154,85.3023732,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_1849461233,Chiya Pasal,27.6781561,85.3214047,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_1898414114,Old House Cafe,27.7138792,85.3249137,cafe,,,,True,openstreetmap,16.0,2.0,0.0,343.52,18.0,378.85,4.0,1.0,46.93,2.0,192.93,1.0,447.97,26.74,1.59,5.8,10.0,High
osm_2164025605,College Cafe,27.6892373,85.3121829,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_1858151606,Jhapali Chiya Pasal,27.6787655,85.3212468,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
