is_operational,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,target_encoded
-1.0,-0.9743663577063275,-0.8346950491462756,0.0,-3.7377571344794394,-0.8547468535700707,-3.849810777814575,-2.285206703650181,-1.0601522380942672,-1.5957660205189361,-1.6267869626808376,-1.7436234090614238,-1.8472437581604015,-2.013536260222841,-2.644910626844302,-2.6520373016460006,-4.057474047019202,-2.923347948880815,0
-1.0,-0.9781199589889652,-0.8407347859149796,0.0,-3.7331993194700557,-0.8326094786269085,-3.8821238465475587,-2.371832154486265,-1.2525685335693406,-1.5892578421519883,-1.6267869626808376,-1.7473996371535343,-1.4540875443635908,-2.0269471912746067,-2.654731613693831,-1.2336098858045965,-4.283288912844172,-3.2821440191685403,0
-1.0,-0.9677975554617116,-0.7863771549966431,0.0,-3.75309213107337,-0.8262845143574336,-3.8747636024422576,-2.198581252814096,-1.2525685335693406,-1.61227544962941,-0.6954310045073958,-1.7489307716185472,-1.06093133056678,-2.0325280858721895,-2.578168001928118,-0.9806735284342761,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9753047580269869,-0.8226155756088674,0.0,-3.738796124744255,-0.8484218893005958,-3.8600011562384102,-2.371832154486265,-1.4449848290444143,-1.5897452111556292,-2.0924649417675583,-1.7389769719586579,-1.06093133056678,-2.0194816435601326,-2.6684686612337525,-2.364384189342499,-4.785099725788549,-3.008023821468718,0
-1.0,-0.9837503609129218,-0.8346950491462756,0.0,-3.7604150344027456,-0.8452594071658583,-3.8743318411569336,-2.5234266934494136,-1.637401124519488,-1.5857694710841275,-0.46259201496403546,-1.7545745845795282,-1.8472437581604015,-2.013536260222841,-2.6390211182469394,-2.3296674344093176,-4.885461888377424,-3.8303844145681847,0
-1.0,-0.8908487291676391,-0.6595426828538578,0.0,-3.736178868706432,-0.8389344428963834,-3.8580968047385644,-2.0469867138509485,-0.8677359426191935,-1.6064270215857188,-1.6267869626808376,-1.751268816797897,-1.8472437581604015,-2.013536260222841,-2.6017260363175683,-2.4685344541420426,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.968735955782371,-0.8286553123775715,0.0,-3.726802970585255,-0.8136345858184837,-3.8715883297921954,-2.2418939782321385,-1.4449848290444143,-1.6017288470747362,-1.6267869626808376,-1.7422063255807692,-0.667775116769969,-2.018952654747749,-2.6193945621096555,-1.4220722697275803,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9809351599509436,-0.8528142594523878,0.0,-3.728193843324528,-0.835771960761646,-3.864799255788482,-2.2202376155231174,-0.8677359426191935,-1.5965056930903785,-2.0924649417675583,-1.7317968922383675,-0.2746189029731582,-2.021608454144414,-2.6292155489591846,-1.7345230641262113,-4.107655128313639,-3.5562642168683625,0
-1.0,-0.9631055538584146,-0.8226155756088674,0.0,-3.7356833182394453,-0.775684800201634,-3.8705475008629975,-2.0902994392689904,-0.4829033516690463,-1.5983015930201938,-1.6267869626808376,-1.7514159425677192,-1.4540875443635908,-2.0157140073778486,-2.6036994842245376,-1.6700490906788747,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.8974175314122551,-0.7501387343844187,0.0,-3.729209929996332,-0.7978221751447963,-3.8710401689127094,-2.393488517195286,-1.637401124519488,-1.5813847171542643,-1.393947973137477,-1.7378364621150726,-1.06093133056678,-2.0194135889615388,-2.6429525964991054,-1.5063843888510202,-5.061095672907956,-2.923347948880815,0
